Index	Verb	Class number	Subclass	Example lemma	Stem	Regularity	Initial segment	Regular category	Affix	Translation	Transitivity																																																										
162	արծնել	1		երգել	արծն	Regular	V	E-Class	-ել	To give a gloss to, to enamel.	Transitive																																																										
163	արհամարհել	1		երգել	արհամարհ	Regular	V	E-Class	-ել	To contemn, to despise, to deride, to scorn.	Transitive																																																										
164	արձագանգել	1		երգել	արձագանգ	Regular	V	E-Class	-ել	To echo.	Intransitive																																																										
165	արձակել	1		երգել	արձակ	Regular	V	E-Class	-ել	To untie, to loosen, to unbind, to free, to release, to let go, to discharge; to detach.	Transitive																																																										
166	արձանագրել	1		երգել	արձանագր	Regular	V	E-Class	-ել	To inscribe, to enter, to enlist, to enroll, to write.	Transitive																																																										
167	արմատանալ	19		ամչնալ	արմատա	Regular	V	Inchoative	-նալ	To take root, to take hold, to grow.	Intransitive																																																										
168	արշաւել	1		երգել	արշաւ	Regular	V	E-Class	-ել	To invade, to attack, to assault, to encroach.	Intransitive																																																										
169	արտաբերել	37		արտաբերել	արտաբեր	Irregular	V		-ել	To speak, to utter, to pronounce.	Transitive																																																										
170	արտագծել	1		երգել	արտագծ	Regular	V	E-Class	-ել	To trace, to copy, to imitate closely.	Transitive																																																										
171	արտագրել	1		երգել	արտագր	Regular	V	E-Class	-ել	To extract.	Transitive																																																										
172	արտադրել	1		երգել	արտադր	Regular	V	E-Class	-ել	To produce, to bring forth.	Transitive																																																										
173	արտածել	1		երգել	արտած	Regular	V	E-Class	-ել	To export.	Transitive																																																										
174	արտահանել	1		երգել	արտահան	Regular	V	E-Class	-ել	To extract, to put out, to draw.	Transitive																																																										
175	արտահեղուլ	7		արտահեղուլ	արտահեղ	Archaic	V		-ուլ 		Intransitive																																																										
176	արտայայտել	1		երգել	արտայայտ	Regular	V	E-Class	-ել	To express, to declare, to indicate.	Transitive																																																										
177	արտաշնչել	1		երգել	արտաշնչ	Regular	V	E-Class	-ել	To transpire, to perspire, to exhale.	Intransitive																																																										
178	արտասանել	1		երգել	արտասան	Regular	V	E-Class	-ել	To declare, to pronounce, to utter, to recite.	Transitive																																																										
179	արտասուել	1		երգել	արտասու	Regular	V	E-Class	-ել	To cry, to weep, to shed tears, to lament.	Intransitive																																																										
180	արտատպել	1		երգել	արտատպ	Regular	V	E-Class	-ել	To reproduce, to reprint, to republish.	Transitive																																																										
181	արտացոլացնել	9	Basic	աճեցնել	արտացոլա	Regular	V	Causative	-ցնել		Transitive																																																										
182	արտաքսել	1		երգել	արտաքս	Regular	V	E-Class	-ել	To expel, to put out, to drive out, to send away.	Transitive																																																										
183	արտորալ	5		աղալ	արտոր	Regular	V	A-Class	-ալ	To hasten.	Intransitive																																																										
184	արտօնել	1		երգել	արտօն	Regular	V	E-Class	-ել	To authorise, to permit, to allow.	Transitive																																																										
185	աւաղել	1		երգել	աւաղ	Regular	V	E-Class	-ել	To deplore, to regret, to bewail, to lament.	Transitive																																																										
186	աւանդել	1		երգել	աւանդ	Regular	V	E-Class	-ել	To deposit, to consign, to render, to transit.	Transitive																																																										
187	աւարել	1		երգել	աւար	Regular	V	E-Class	-ել	To pillage, to plunder, to ransack.	Transitive																																																										
188	աւարտել	1		երգել	աւարտ	Regular	V	E-Class	-ել	To finish, to complete, to end, to terminate.	Transitive																																																										
189	աւարտիլ	3	Basic	ապրիլ	աւարտ	Regular	V	I-Class	-իլ	To finish, to terminate, to conclude.	Intransitive																																																										
190	աւելնալ	19		ամչնալ	աւել	Regular	V	Inchoative	-նալ	To augment, to increase.	Intransitive																																																										
191	աւելցնել	9	Basic	աճեցնել	աւել	Regular	V	Causative	-ցնել	To add, to augment, to join, to increase.	Transitive																																																										
192	աւետել	1		երգել	աւետ	Regular	V	E-Class	-ել	To announce good tidings.	Transitive																																																										
193	աւերել	1		երգել	աւեր	Regular	V	E-Class	-ել	To ravage, to ruin, to destroy, to desolate, to lay waste.	Transitive																																																										
194	աւրել	1		երգել	աւր	Regular	V	E-Class	-ել	To efface, to cancel, to erase, to blot out.	Transitive																																																										
195	աւրուիլ	3	Passive	ածիլուիլ	աւր	Regular	V	Passive	-ուիլ	To get obliterated, to be spoiled.	Intransitive																																																										
196	աքացել	1		երգել	աքաց	Regular	V	E-Class	-ել	To kick.	Intransitive																																																										
197	աքսորել	1		երգել	աքսոր	Regular	V	E-Class	-ել	To exile, to banish, to send away.	Transitive																																																										
198	աքսորուիլ	3	Passive	ածիլուիլ	աքսոր	Regular	V	Passive	-ուիլ		Intransitive																																																										
199	բաբախել	2		քաղել	բաբախ	Regular	C	E-Class	-ել	To palpitate, to throb, to flutter, to beat; to pant.	Intransitive																																																										
200	բազմանալ	20		նիհարնալ	բազմա	Regular	C	Inchoative	-նալ	To multiply, to augment, to abound, to overflow.	Intransitive																																																										
201	բազմապատկել	2		քաղել	բազմապատկ	Regular	C	E-Class	-ել		Transitive																																																										
202	բազմացնել	10	Basic	մօտեցնել	բազմա	Regular	C	Causative	-ցնել	To increase, to multiply, to augment.	Transitive																																																										
203	բազմիլ	4	Basic	խօսիլ	բազմ	Regular	C	I-Class	-իլ	To sit down, to sit.	Intransitive																																																										
