Index	Verb	Class number	Subclass	Example lemma	Stem	Regularity	Initial segment	Regular category	Affix	Translation	Transitivity																																																										
224	բաշխել	2		քաղել	բաշխ	Regular	C	E-Class	-ել	To divide, to distribute, to share, to dispense.	Transitive																																																										
225	բառաչել	2		քաղել	բառաչ	Regular	C	E-Class	-ել	To bellow, to low, to roar.	Intransitive																																																										
226	բառնալ	20		նիհարնալ	բառ	Regular	C	Inchoative	-նալ	To lift, to raise up, to carry off, to remove.	Transitive																																																										
227	բասրել	2		քաղել	բասր	Regular	C	E-Class	-ել	To backbite, to slander, to blame.	Transitive																																																										
228	բարակնալ	20		նիհարնալ	բարակ	Regular	C	Inchoative	-նալ	To become thinner, to refine.	Intransitive																																																										
229	բարակցնել	10	Basic	մօտեցնել	բարակ	Regular	C	Causative	-ցնել	To make thinner, smaller, finer.	Transitive																																																										
230	բարբանջել	2		քաղել	բարբանջ	Regular	C	E-Class	-ել	To trifle, to prate, to dote, to chat, to bawl.	Intransitive																																																										
231	բարբառիլ	4	Basic	խօսիլ	բարբառ	Regular	C	I-Class	-իլ	To speak, to cry, to resound.	Intransitive																																																										
232	բարգաւաճիլ	4	Basic	խօսիլ	բարգաւաճ	Regular	C	I-Class	-իլ	To prosper, to flourish.	Intransitive																																																										
233	բարդել	2		քաղել	բարդ	Regular	C	E-Class	-ել	To accumulate, to heap up; to compose.	Transitive																																																										
234	բարեբանել	2		քաղել	բարեբան	Regular	C	E-Class	-ել	To wish well, to bless, to praise.	Transitive																																																										
235	բարեզարդել	2		քաղել	բարեզարդ	Regular	C	E-Class	-ել	To embellish, to adorn, to set off, to beautify.	Transitive																																																										
236	բարելաւել	2		քաղել	բարելաւ	Regular	C	E-Class	-ել	To ameliorate, to improve, to better.	Transitive																																																										
237	բարեխառնել	2		քաղել	բարեխառն	Regular	C	E-Class	-ել	To temper, to modify, to allay.	Transitive																																																										
238	բարեխօսել	2		քաղել	բարեխօս	Regular	C	E-Class	-ել	To intercede, to mediate.	Intransitive																																																										
239	բարեկամանալ	20		նիհարնալ	բարեկամա	Regular	C	Inchoative	-նալ	To be, to become friend, to be familiar.	Intransitive																																																										
240	բարեկարգել	2		քաղել	բարեկարգ	Regular	C	E-Class	-ել	To reform, to put in order, to discipline.	Transitive																																																										
241	բարեհաճիլ	4	Basic	խօսիլ	բարեհաճ	Regular	C	I-Class	-իլ	To deign, to condescend, to be pleased, to accept.	Intransitive																																																										
242	բարեմաղթել	2		քաղել	բարեմաղթ	Regular	C	E-Class	-ել	To wish, to wish well.	Transitive																																																										
243	բարենորոգել	2		քաղել	բարենորոգ	Regular	C	E-Class	-ել	To reform, to form again.	Intransitive																																																										
244	բարեւել	2		քաղել	բարեւ	Regular	C	E-Class	-ել	To salute, to greet, to hail, to bow.	Transitive																																																										
245	բարկանալ	20		նիհարնալ	բարկա	Regular	C	Inchoative	-նալ	To be angry, to be offended, to get into a passion.	Intransitive																																																										
246	բարկացնել	10	Basic	մօտեցնել	բարկա	Regular	C	Causative	-ցնել	To exasperate, to anger, to offend, to vex, to irritate, to displease.	Transitive																																																										
247	բարձել	2		քաղել	բարձ	Regular	C	E-Class	-ել		Transitive																																																										
248	բարձրանալ	20		նիհարնալ	բարձրա	Regular	C	Inchoative	-նալ	To rise, to get higher, to mount, to go up, to ascend.	Intransitive																																																										
249	բարձրացնել	10	Basic	մօտեցնել	բարձրա	Regular	C	Causative	-ցնել	To exalt, to raise up, to elevate.	Transitive																																																										
250	բարւոքել	2		քաղել	բարւոք	Regular	C	E-Class	-ել	To ameliorate, to better, to improve.	Transitive																																																										
251	բարւոքիլ	4	Basic	խօսիլ	բարւոք	Regular	C	I-Class	-իլ		Intransitive																																																										
252	բացակայիլ	4	Basic	խօսիլ	բացակայ	Regular	C	I-Class	-իլ		Intransitive																																																										
253	բացականչել	2		քաղել	բացականչ	Regular	C	E-Class	-ել		Intransitive																																																										
254	բացայայտել	2		քաղել	բացայայտ	Regular	C	E-Class	-ել	To manifest, to explain, to declare.	Transitive																																																										
255	բացասել	2		քաղել	բացաս	Regular	C	E-Class	-ել		Transitive																																																										
