Index	Verb	Class number	Class example	Stem	Regularity	Regular category	Phonological marker	Morphological marker	Comment	
149	արթննալ	19	ամչնալ	արթն	Regular	Inchoative	V-initial	-նալ		
150	արթնցնել	9	աճեցնել	արթն	Regular	Causative	V-initial	-ցնել		
151	արժանանալ	19	ամչնալ	արժան	Regular	Inchoative	V-initial	-նալ		
152	արժանացնել	9	աճեցնել	արժանա	Regular	Causative	V-initial	-ցնել		
153	արժեզրկել	1	երգել	արժեզրկ	Regular	E-Class	V-initial	-ել		
154	արժել	1	երգել	արժ	Regular	E-Class	V-initial	-ել		
155	արժեւորել	1	երգել	արժեւոր	Regular	E-Class	V-initial	-ել		
156	արժէքազրկել	1	երգել	արժէքազրկ	Regular	E-Class	V-initial	-ել		
157	արժէքաւորել	1	երգել	արժէքաւոր	Regular	E-Class	V-initial	-ել		
158	արիանալ	19	ամչնալ	արի	Regular	Inchoative	V-initial	-նալ		
159	արիւնել	1	երգել	արիւն	Regular	E-Class	V-initial	-ել		
160	արիւնիլ	3	ապրիլ	արիւն	Regular	I-Class	V-initial	-իլ		
161	արծարծել	1	երգել	արծարծ	Regular	E-Class	V-initial	-ել		
162	արծնել	1	երգել	արծն	Regular	E-Class	V-initial	-ել		
163	արհամարհել	1	երգել	արհամարհ	Regular	E-Class	V-initial	-ել		
164	արձագանգել	1	երգել	արձագանգ	Regular	E-Class	V-initial	-ել		
165	արձակել	1	երգել	արձակ	Regular	E-Class	V-initial	-ել		
166	արձանագրել	1	երգել	արձանագր	Regular	E-Class	V-initial	-ել		
167	արմատանալ	19	ամչնալ	արմատ	Regular	Inchoative	V-initial	-նալ		
168	արշաւել	1	երգել	արշաւ	Regular	E-Class	V-initial	-ել		
169	արտաբերել	37	արտաբերել	արտաբեր	Irregular		V-initial	Lexeme բերել		
170	արտագծել	1	երգել	արտագծ	Regular	E-Class	V-initial	-ել		
171	արտագրել	1	երգել	արտագր	Regular	E-Class	V-initial	-ել		
172	արտադրել	1	երգել	արտադր	Regular	E-Class	V-initial	-ել		
173	արտածել	1	երգել	արտած	Regular	E-Class	V-initial	-ել		
174	արտահանել	1	երգել	արտահան	Regular	E-Class	V-initial	-ել		
175	արտահեղուլ	7	արտահեղուլ	արտահեղ	Archaic		V-initial	-ուլ 		
176	արտայայտել	1	երգել	արտայայտ	Regular	E-Class	V-initial	-ել		
177	արտաշնչել	1	երգել	արտաշնչ	Regular	E-Class	V-initial	-ել		
178	արտասանել	1	երգել	արտասան	Regular	E-Class	V-initial	-ել		
179	արտասուել	1	երգել	արտասու	Regular	E-Class	V-initial	-ել		
180	արտատպել	1	երգել	արտատպ	Regular	E-Class	V-initial	-ել		
181	արտացոլացնել	9	աճեցնել	արտացոլա	Regular	Causative	V-initial	-ցնել		
182	արտաքսել	1	երգել	արտաքս	Regular	E-Class	V-initial	-ել		
183	արտորալ	5	աղալ	արտոր	Regular	A-Class	V-initial	-ալ		
184	արտօնել	1	երգել	արտօն	Regular	E-Class	V-initial	-ել		
185	աւաղել	1	երգել	աւաղ	Regular	E-Class	V-initial	-ել		
186	աւանդել	1	երգել	աւանդ	Regular	E-Class	V-initial	-ել		
187	աւարել	1	երգել	աւար	Regular	E-Class	V-initial	-ել		
188	աւարտել	1	երգել	աւարտ	Regular	E-Class	V-initial	-ել		
189	աւարտիլ	3	ապրիլ	աւարտ	Regular	I-Class	V-initial	-իլ		
190	աւելնալ	19	ամչնալ	աւել	Regular	Inchoative	V-initial	-նալ		
191	աւելցնել	9	աճեցնել	աւել	Regular	Causative	V-initial	-ցնել		
192	աւետել	1	երգել	աւետ	Regular	E-Class	V-initial	-ել		
193	աւերել	1	երգել	աւեր	Regular	E-Class	V-initial	-ել		
194	աւրել	1	երգել	աւր	Regular	E-Class	V-initial	-ել		
195	աւրուիլ	3	ապրիլ	աւր	Regular	Passive	V-initial	-իլ		
196	աքացել	1	երգել	աքաց	Regular	E-Class	V-initial	-ել		
197	աքսորել	1	երգել	աքսոր	Regular	E-Class	V-initial	-ել		
198	աքսորուիլ	3	ապրիլ	աքսոր	Regular	Passive	V-initial	-իլ		
199	բաբախել	2	քաղել	բաբախ	Regular	E-Class	C-initial	-ել		
200	բազմանալ	20	նիհարնալ	բազմ	Regular	Inchoative	C-initial	-նալ		
201	բազմապատկել	2	քաղել	բազմապատկ	Regular	E-Class	C-initial	-ել		
202	բազմացնել	10	մօտեցնել	բազմա	Regular	Causative	C-initial	-ցնել		
203	բազմիլ	4	խօսիլ	բազմ	Regular	I-Class	C-initial	-իլ		
204	բաժանորդագրել	2	քաղել	բաժանորդագր	Regular	E-Class	C-initial	-ել		
205	բաժանորդագրուիլ	4	խօսիլ	բաժանորդագր	Regular	Passive	C-initial	-իլ		
206	բաժնել	2	քաղել	բաժն	Regular	E-Class	C-initial	-ել		
207	բաժնուիլ	4	խօսիլ	բաժն	Regular	Passive	C-initial	-իլ		
208	բախել	2	քաղել	բախ	Regular	E-Class	C-initial	-ել		
209	բախիլ	4	խօսիլ	բախ	Regular	I-Class	C-initial	-իլ		
210	բաղադրել	2	քաղել	բաղադր	Regular	E-Class	C-initial	-ել		
211	բաղդատել	2	քաղել	բաղդատ	Regular	E-Class	C-initial	-ել		
212	բաղկանալ	20	նիհարնալ	բաղկ	Regular	Inchoative	C-initial	-նալ		
213	բաղձալ	6	կարդալ	բաղձ	Regular	A-Class	C-initial	-ալ		
214	բամբասել	2	քաղել	բամբաս	Regular	E-Class	C-initial	-ել		
215	բանադրել	2	քաղել	բանադր	Regular	E-Class	C-initial	-ել		
216	բանալ	42	բանալ	բան	Suppletive			Lexeme		
217	բանակիլ	4	խօսիլ	բանակ	Regular	I-Class	C-initial	-իլ		
218	բանաձեւել	2	քաղել	բանաձեւ	Regular	E-Class	C-initial	-ել		
219	բանավիճիլ	4	խօսիլ	բանավիճ	Regular	I-Class	C-initial	-իլ		
220	բանեցնել	10	մօտեցնել	բանե	Regular	Causative	C-initial	-ցնել		
221	բանիլ	4	խօսիլ	բան	Regular	I-Class	C-initial	-իլ		
222	բանսարկել	2	քաղել	բանսարկ	Regular	E-Class	C-initial	-ել		
223	բանտարկել	2	քաղել	բանտարկ	Regular	E-Class	C-initial	-ել		
224	բաշխել	2	քաղել	բաշխ	Regular	E-Class	C-initial	-ել		
225	բառաչել	2	քաղել	բառաչ	Regular	E-Class	C-initial	-ել		
226	բառնալ	20	նիհարնալ	բառ	Regular	Inchoative	C-initial	-նալ		
227	բասրել	2	քաղել	բասր	Regular	E-Class	C-initial	-ել		
228	բարակնալ	20	նիհարնալ	բարակ	Regular	Inchoative	C-initial	-նալ		
229	բարակցնել	10	մօտեցնել	բարակ	Regular	Causative	C-initial	-ցնել		
230	բարբանջել	2	քաղել	բարբանջ	Regular	E-Class	C-initial	-ել		
231	բարբառիլ	4	խօսիլ	բարբառ	Regular	I-Class	C-initial	-իլ		
232	բարգաւաճիլ	4	խօսիլ	բարգաւաճ	Regular	I-Class	C-initial	-իլ		
233	բարդել	2	քաղել	բարդ	Regular	E-Class	C-initial	-ել		
234	բարեբանել	2	քաղել	բարեբան	Regular	E-Class	C-initial	-ել		
235	բարեզարդել	2	քաղել	բարեզարդ	Regular	E-Class	C-initial	-ել		
236	բարելաւել	2	քաղել	բարելաւ	Regular	E-Class	C-initial	-ել		
